Filename,Volume_cm3,Height_m,Alpha,Method,MaxX,MaxY,MaxZ
cluster_1102.txt,0.551063,0.010880,,convex,-1.549050,40.347530,-2.034990
cluster_1103.txt,0.264068,0.006020,,convex,-1.568120,40.394619,-2.041720
cluster_1104.txt,0.155743,0.007570,,convex,-1.565350,40.368038,-2.037370
cluster_1105.txt,2.446267,0.013630,,convex,-1.526440,40.370831,-2.024750
cluster_1106.txt,0.355093,0.006890,,convex,-1.499990,40.306370,-2.041420
cluster_1107.txt,1.947470,0.012180,,convex,-1.497080,40.386650,-2.027330
cluster_1108.txt,0.312195,0.010400,,convex,-1.586110,40.439209,-2.033260
cluster_1109.txt,0.954196,0.011180,,convex,-1.554420,40.436081,-2.034310
cluster_111.txt,0.540528,0.010040,,convex,-2.186070,39.193920,-2.033780
cluster_1110.txt,0.743555,0.018480,,convex,-1.524300,40.420101,-2.018520
cluster_1111.txt,2.512803,0.026760,,convex,-1.500230,40.431061,-2.015600
cluster_1112.txt,1.986497,0.014770,,convex,-1.550960,40.484280,-2.027420
cluster_1113.txt,0.400514,0.005920,,convex,-1.559920,40.514240,-2.032890
cluster_1114.txt,5.839147,0.041440,,convex,-1.527060,40.497849,-1.994410
cluster_1115.txt,8.490257,0.031250,,convex,-1.497710,40.500488,-2.006690
cluster_1116.txt,2.706856,0.029600,,convex,-1.470380,40.421612,-2.017770
cluster_1117.txt,3.809109,0.017220,,convex,-1.458150,40.466888,-2.026650
cluster_1118.txt,0.583419,0.011940,,convex,-1.399390,40.454731,-2.029560
cluster_1119.txt,1.933919,0.017760,,convex,-1.350570,40.355339,-2.023250
cluster_112.txt,1.340137,0.023490,,convex,-2.177680,39.222340,-2.017810
cluster_1120.txt,0.554113,0.006870,,convex,-1.326360,40.313709,-2.039220
cluster_1121.txt,0.677370,0.009780,,convex,-1.551760,40.559380,-2.029010
cluster_1122.txt,0.130675,0.010860,,convex,-1.517830,39.674751,-1.993430
cluster_1123.txt,0.472927,0.021450,,convex,-1.559950,39.711868,-1.972440
cluster_1124.txt,0.025213,0.006480,,convex,-3.038970,39.804161,-1.962830
cluster_1125.txt,0.044308,0.009110,,convex,-1.818590,40.381561,-1.985400
cluster_113.txt,2.552542,0.018620,,convex,-2.201980,39.262089,-2.028870
cluster_114.txt,0.738479,0.009750,,convex,-2.157410,39.265221,-2.040870
cluster_115.txt,0.467863,0.009730,,convex,-2.141540,39.224850,-2.040570
cluster_116.txt,0.286894,0.005930,,convex,-2.141220,39.255322,-2.040140
cluster_117.txt,0.649762,0.011130,,convex,-2.121320,39.255409,-2.037340
cluster_118.txt,0.144943,0.005780,,convex,-2.149970,39.182770,-2.039530
cluster_119.txt,0.092417,0.011190,,convex,-2.127700,39.203579,-2.034170
cluster_12.txt,0.095076,0.003110,,convex,-2.630520,39.110538,-2.062830
cluster_120.txt,0.270351,0.011740,,convex,-2.103850,39.235592,-2.032530
cluster_121.txt,0.181174,0.010560,,convex,-2.134250,39.280590,-2.038390
cluster_122.txt,1.933408,0.019550,,convex,-2.111150,39.304779,-2.032390
cluster_123.txt,0.129311,0.006040,,convex,-2.953310,39.421841,-2.060250
cluster_124.txt,0.531213,0.014140,,convex,-2.929430,39.331772,-2.052040
cluster_125.txt,1.802731,0.014530,,convex,-2.923770,39.375622,-2.051150
cluster_126.txt,0.797341,0.016260,,convex,-2.908280,39.366570,-2.047470
cluster_127.txt,5.735894,0.027610,,convex,-2.906180,39.426979,-2.038170
cluster_128.txt,22.181416,0.071940,,convex,-2.855680,39.421669,-1.988930
cluster_129.txt,0.975696,0.006990,,convex,-2.857100,39.334351,-2.066000
cluster_13.txt,1.882259,0.023240,,convex,-2.609870,39.074661,-2.039120
cluster_130.txt,0.605989,0.009300,,convex,-2.828310,39.322262,-2.068050
cluster_131.txt,1.638766,0.012090,,convex,-2.821060,39.389481,-2.051460
cluster_132.txt,5.199882,0.017840,,convex,-2.990050,39.461029,-2.047530
cluster_133.txt,2.403734,0.024800,,convex,-3.028370,39.519001,-2.034280
cluster_134.txt,0.860632,0.010130,,convex,-2.923980,39.525940,-2.054660
cluster_135.txt,0.349928,0.009410,,convex,-2.882650,39.484501,-2.042800
cluster_136.txt,3.390270,0.026200,,convex,-2.843730,39.459129,-2.036760
cluster_137.txt,1.477655,0.012130,,convex,-2.809740,39.435699,-2.050930
cluster_138.txt,0.625084,0.008010,,convex,-2.832570,39.527260,-2.042170
cluster_139.txt,3.715859,0.018280,,convex,-2.776920,39.347290,-2.053560
cluster_14.txt,0.402577,0.015470,,convex,-2.590770,39.162849,-2.039240
cluster_140.txt,7.831399,0.028670,,convex,-2.720680,39.321030,-2.037140
cluster_141.txt,5.073465,0.020120,,convex,-2.725180,39.425961,-2.039460
cluster_142.txt,5.170825,0.030850,,convex,-2.714360,39.377522,-2.021230
cluster_143.txt,0.210157,0.007470,,convex,-2.636560,39.355209,-2.051040
cluster_144.txt,0.357870,0.008810,,convex,-2.664660,39.344959,-2.045850
cluster_145.txt,0.885505,0.008940,,convex,-2.613100,39.323910,-2.045560
cluster_146.txt,0.491031,0.013620,,convex,-2.649000,39.396790,-2.031740
cluster_147.txt,0.171973,0.007090,,convex,-2.590250,39.378460,-2.043360
cluster_148.txt,2.775276,0.013960,,convex,-2.807710,39.479759,-2.048540
cluster_149.txt,0.417358,0.009390,,convex,-2.776170,39.464901,-2.050470
cluster_15.txt,0.600913,0.008050,,convex,-2.735820,39.208111,-2.062670
cluster_150.txt,2.527242,0.023560,,convex,-2.801020,39.513432,-2.025440
cluster_151.txt,0.401781,0.010970,,convex,-2.801700,39.539429,-2.040440
cluster_152.txt,1.400519,0.015020,,convex,-2.731720,39.477501,-2.039360
cluster_153.txt,2.237203,0.023460,,convex,-2.734890,39.513901,-2.026570
cluster_154.txt,1.081858,0.017840,,convex,-2.768420,39.539188,-2.029420
cluster_155.txt,0.941541,0.015550,,convex,-2.667450,39.526619,-2.030060
cluster_156.txt,0.260632,0.011500,,convex,-2.692530,39.538040,-2.030420
cluster_157.txt,1.956845,0.012530,,convex,-2.620560,39.462330,-2.037410
cluster_158.txt,1.491870,0.017530,,convex,-2.629430,39.508671,-2.030600
cluster_159.txt,0.906161,0.009170,,convex,-2.571160,39.490799,-2.036360
cluster_16.txt,0.376167,0.012610,,convex,-2.753980,39.240631,-2.056440
cluster_160.txt,1.050629,0.014030,,convex,-3.050410,39.651878,-2.037550
cluster_161.txt,0.125946,0.006220,,convex,-2.991640,39.649551,-2.043620
cluster_162.txt,1.080718,0.009460,,convex,-2.985320,39.671711,-2.042990
cluster_163.txt,1.183001,0.012440,,convex,-2.934800,39.572571,-2.050090
cluster_164.txt,2.467721,0.017150,,convex,-2.932770,39.664940,-2.035790
cluster_165.txt,6.389409,0.028180,,convex,-2.912250,39.616840,-2.029950
cluster_166.txt,0.869523,0.015460,,convex,-2.845260,39.559731,-2.032000
cluster_167.txt,0.102190,0.007890,,convex,-2.842440,39.610958,-2.038230
cluster_168.txt,0.432409,0.006830,,convex,-2.844880,39.654179,-2.040770
cluster_169.txt,0.394528,0.007380,,convex,-2.866850,39.654160,-2.036880
cluster_17.txt,3.094082,0.015920,,convex,-2.754640,39.313129,-2.052070
cluster_170.txt,1.256616,0.015250,,convex,-3.052580,39.745201,-2.026020
cluster_171.txt,10.425283,0.050640,,convex,-2.957560,39.713009,-1.996330
cluster_172.txt,1.258138,0.012740,,convex,-2.998790,39.769798,-2.029900
cluster_173.txt,6.366569,0.028110,,convex,-2.871210,39.729191,-2.011510
cluster_174.txt,0.827564,0.009900,,convex,-2.913600,39.764481,-2.034080
