X,Y,Z
-13.2328300476,23.1446800232,10.3347501755
-13.2724103928,23.1753997803,10.3676204681
-13.2287998199,23.1668891907,10.3281202316
-13.1732301712,23.1633701324,10.351559639
-13.273349762,23.2425498962,10.3277797699
-13.2517900467,23.2775592804,10.3555297852
-13.1988096237,23.2947292328,10.3595600128
-13.1777496338,23.2360591888,10.3662004471
-13.6139297485,23.0953197479,10.3535203934
-13.1350698471,23.2525196075,10.3462095261
-13.1132602692,23.0990695953,10.3360996246
-13.1211004257,23.1245193481,10.3394899368
-13.1123399734,23.135679245,10.3373603821
-13.0562601089,23.1430397034,10.3670196533
-13.0956897736,23.1723194122,10.3483495712
-12.9727602005,23.1211490631,10.3426599503
-12.9995803833,23.1732406616,10.3581800461
-13.0214500427,23.1780605316,10.3438301086
-12.9327201843,23.1756191254,10.3393001556
-13.5198297501,23.0266094208,10.3635797501
-13.0319404602,23.2157402039,10.3355998993
-12.9860296249,23.2146091461,10.3604097366
-13.0302801132,23.2477703094,10.3353796005
-12.9741296768,23.2542896271,10.3518695831
-12.9690599442,23.2870006561,10.3927297592
-12.9061698914,23.0485305786,10.3667497635
-12.9070596695,23.1256504059,10.3479499817
-12.9117803574,23.1602497101,10.3548297882
-12.9056997299,23.1735706329,10.3563404083
-12.8399000168,23.1964492798,10.3469200134
-13.5017595291,23.1051902771,10.358710289
-12.8996200562,23.2855396271,10.3637199402
-12.8195400238,23.2518405914,10.3788995743
-12.7201595306,23.2859706879,10.3850097656
-12.6977300644,23.2856807709,10.3781795502
-13.2891597748,23.3022899628,10.3595304489
-13.261879921,23.2938499451,10.3374204636
-13.2800102234,23.3438892365,10.3415203094
-13.1254396439,23.2871208191,10.3370504379
-13.2022800446,23.3376293182,10.3496103287
-13.1987400055,23.375869751,10.3556003571
-13.8928403854,23.2475795746,10.3483695984
-13.4273195267,22.9360408783,10.3336296082
-13.1475601196,23.3376808167,10.3453702927
-13.1576099396,23.3764400482,10.3409404755
-13.3028402328,23.4688396454,10.3528203964
-13.2508802414,23.4572906494,10.3653802872
-13.2268400192,23.4181804657,10.3396596909
-13.1952295303,23.4419002533,10.3487901688
-13.1365404129,23.4410705566,10.3732700348
-13.1056995392,23.3196392059,10.3428602219
-13.0549497604,23.3070106506,10.3637800217
-13.0715503693,23.3245105743,10.3565502167
-13.4454498291,23.0119991302,10.3576402664
-13.0910301208,23.3492298126,10.3387298584
-13.0029401779,23.3236408234,10.3780498505
-13.0269899368,23.3689193726,10.34953022
-12.949760437,23.3763408661,10.3977899551
-13.1012401581,23.3935203552,10.3430595398
-13.0418100357,23.389799118,10.3514404297
-13.0987300873,23.4418201447,10.3452997208
-13.0771903992,23.4338493347,10.3533296585
-13.0182199478,23.4662208557,10.3606300354
-13.2769804001,23.5028591156,10.3464603424
-13.3837203979,22.9591598511,10.3559999466
-13.2401504517,23.4938793182,10.3425798416
-13.1694803238,23.5039291382,10.3379001617
-13.1258897781,23.4987392426,10.3587999344
-13.2113199234,23.5102100372,10.371919632
-13.1995801926,23.5486392975,10.3308496475
-13.1651601791,23.5621700287,10.3537397385
-13.1295499802,23.530040741,10.3476800919
-13.1204395294,23.5461406708,10.3662204742
-13.27684021,23.5753898621,10.3446397781
-13.226099968,23.5572795868,10.3334703445
-13.3324403763,22.9894504547,10.3305702209
-13.2515296936,23.5897502899,10.3565397263
-13.2466897964,23.6498908997,10.3392801285
-13.2227697372,23.6441307068,10.3299999237
-13.1759796143,23.5908794403,10.3319196701
-13.1871099472,23.6297798157,10.3306598663
-13.066740036,23.48554039,10.3425703049
-13.0913095474,23.5440196991,10.340959549
-12.9937295914,23.5048599243,10.3360595703
-12.9274301529,23.4851608276,10.3986797333
-13.0033397675,23.5480098724,10.3418998718
-13.3066701889,22.9658203125,10.338549614
-13.1044797897,23.5920696259,10.3791399002
-13.0727996826,23.6073493958,10.355099678
-13.1169500351,23.6507606506,10.336640358
-13.0991401672,23.6308708191,10.3374004364
-13.0079898834,23.6384792328,10.3389396667
-12.976149559,23.6506996155,10.3517503738
-12.9372901917,23.6028709412,10.3415699005
-12.9044704437,23.353849411,10.3443698883
-12.7579603195,23.331079483,10.3541297913
-12.939620018,23.371509552,10.3390398026
-13.4286499023,23.0466194153,10.3401498795
-12.8557596207,23.3922805786,10.3884096146
-12.8469696045,23.4148101807,10.3629703522
-12.9348602295,23.4361495972,10.3435697556
-12.8279600143,23.3918399811,10.3513498306
-12.7899103165,23.4251899719,10.3643398285
-12.6891899109,23.3507194519,10.4060201645
-12.6453504562,23.3703098297,10.3824501038
-12.7531099319,23.3732204437,10.3488502502
-12.7273397446,23.3946609497,10.3553495407
-12.7290201187,23.4138298035,10.3716201782
-13.4825000763,23.044500351,10.3297195435
-12.6983699799,23.4242706299,10.3696403503
-12.9071102142,23.4862709045,10.3715696335
-12.812040329,23.4975204468,10.3615703583
-12.798910141,23.5279102325,10.3685598373
-12.9013795853,23.5794696808,10.3375997543
-12.9029903412,23.6235198975,10.3409900665
-12.7943897247,23.5736408234,10.3702802658
-12.8276500702,23.6577301025,10.3644895554
-12.6888103485,23.4913597107,10.3449001312
-12.7269496918,23.5378398895,10.3499603271
-13.4566802979,23.089849472,10.3335103989
-12.6647901535,23.513759613,10.3756399155
-12.6490802765,23.5242500305,10.3985900879
-12.7042999268,23.5726299286,10.3471803665
-12.6707897186,23.5783805847,10.3559598923
-12.7593698502,23.6453800201,10.3813400269
-12.6642398834,23.6166095734,10.348449707
-13.957159996,23.6614894867,10.3418302536
-13.980099678,23.7137298584,10.3999900818
-13.9202604294,23.6671504974,10.3486995697
-13.8899202347,23.6954803467,10.360710144
-13.3599700928,23.0397701263,10.347120285
-13.926609993,23.8186397552,10.3814001083
-13.830499649,23.6875991821,10.3650598526
-13.7785196304,23.687330246,10.3711700439
-13.7923898697,23.7194805145,10.3599700928
-13.7385597229,23.6673603058,10.3759803772
-13.7413196564,23.7192497253,10.3646297455
-13.7115898132,23.7241191864,10.346570015
-13.6967401505,23.7136993408,10.3325195312
-13.7944402695,23.7459697723,10.3733901978
-13.8600101471,23.785150528,10.3602800369
-13.3827495575,23.0991897583,10.3548498154
-13.7568597794,23.7572002411,10.3703804016
-13.7342195511,23.7908706665,10.3591604233
-13.7110595703,23.7593898773,10.3347702026
-13.7488498688,23.8069000244,10.3582296371
-13.7366104126,23.80727005,10.3505601883
-13.9607000351,23.8331508636,10.3594503403
-13.9635295868,23.8973197937,10.3734197617
-13.8883399963,23.8504505157,10.3807897568
-13.9281396866,23.9038505554,10.3842897415
-13.8622598648,23.887670517,10.3687801361
-13.8439397812,23.1879501343,10.3608503342
-13.361579895,23.0814704895,10.3511104584
-13.903840065,23.9233093262,10.3746204376
-13.8746299744,23.9578704834,10.3696403503
-13.8702001572,23.984369278,10.3712797165
-13.794380188,23.8402690887,10.3760900497
-13.8314504623,23.9158802032,10.367650032
